title,iframe_url,categories
Block City Clicker,https://games.crazygames.com/en_US/block-city-clicker/index.html,Clicker,Idle,City
Monster Slayer,https://games.crazygames.com/en_US/monster-slayer-idle-clicker/index.html,Clicker,Idle,Monster
Gridle,https://games.crazygames.com/en_US/gridle/index.html,Idle,Arcade
I Best Dancer!,https://games.crazygames.com/en_US/i-best-dancer/index.html,Dance,Idle
Fruit Factory Idle,https://games.crazygames.com/en_US/fruit-factory-idle/index.html,Factory,Idle,Fruit
Idle Animal Anatomy,https://games.crazygames.com/en_US/idle-animal-anatomy/index.html,Idle,Animal
Idle Monster Slayer,https://games.crazygames.com/en_US/idle-monster-slayer/index.html,Idle,Monster
Fall Ball Clicker,https://games.crazygames.com/en_US/fall-ball-clicker/index.html,Clicker,Idle,Ball
Celldome,https://games.crazygames.com/en_US/celldom/index.html,Idle,Cell
Hamster Factory ASMR,https://games.crazygames.com/en_US/hamster-factory-asmr/index.html,Factory,Idle,Hamster
Soccer Clicker,https://games.crazygames.com/en_US/soccer-clicker/index.html,Clicker,Idle,Sports
Idle Dice,https://games.crazygames.com/en_US/idle-dice/index.html,Idle,Dice
Incremental Epic Hero 2,https://games.crazygames.com/en_US/incremental-epic-hero-2/index.html,Idle,Incremental
Console Idle,https://games.crazygames.com/en_US/console-idle/index.html,Idle,Console
Sword Adventure Idle,https://games.crazygames.com/en_US/sword-adventure-idle/index.html,Idle,Adventure
Race Clicker: Drift Max,https://games.crazygames.com/en_US/race-clicker-drift-max/index.html,Clicker,Idle,Racing
Block Blast 3D,https://games.crazygames.com/en_US/block-blast-3d/index.html,Block,Idle,3D
GrindCraft,https://games.crazygames.com/en_US/grindcraft/index.html,Crafting,Idle
Angles,https://games.crazygames.com/en_US/angles/index.html,Idle,Arcade
DualForce Idle,https://games.crazygames.com/en_US/dualforce-idle/index.html,Idle,Arcade
Cosmic Miners,https://games.crazygames.com/en_US/cosmic-miners/index.html,Mining,Idle,Space
LandLord - Real Estate Tycoon,https://games.crazygames.com/en_US/landlord---real-estate-tycoon/index.html,Tycoon,Idle,Real Estate
Evolve,https://games.crazygames.com/en_US/evolve/index.html,Idle,Evolution
MineMerge,https://games.crazygames.com/en_US/minemerge/index.html,Merge,Idle,Mining
Idle Crafting Empire Tycoon,https://games.crazygames.com/en_US/idle-crafting-empire-tycoon/index.html,Idle,Tycoon,Crafting
Block Destroyer,https://games.crazygames.com/en_US/block-destroyer/index.html,Block,Idle
Pendulum Master,https://games.crazygames.com/en_US/pendulum-master/index.html,Idle,Physics
Pixel Smashers,https://games.crazygames.com/en_US/pixel-smashers/index.html,Idle,Pixel
My Chicken Farm,https://games.crazygames.com/en_US/my-chicken-farm/index.html,Farm,Idle,Chicken
Backpack Idle,https://games.crazygames.com/en_US/backpack-idle/index.html,Idle,Backpack
Garden Idle,https://games.crazygames.com/en_US/garden-idle/index.html,Idle,Garden
Idle Gun 2,https://games.crazygames.com/en_US/idle-gun-2/index.html,Idle,Gun
Maxwell Clicker,https://games.crazygames.com/en_US/maxwell-clicker/index.html,Clicker,Idle
Fantasy Idle Tycoon 2,https://games.crazygames.com/en_US/fantasy-idle-tycoon-2/index.html,Idle,Tycoon,Fantasy
Rocket Launch,https://games.crazygames.com/en_US/rocket-launch/index.html,Idle,Launch
Merging Gears,https://games.crazygames.com/en_US/merging-gears/index.html,Merge,Idle,Gears
Crash Test Idle,https://games.crazygames.com/en_US/crash-test-idle/index.html,Idle,Crash
Alchemy Merge Clicker,https://games.crazygames.com/en_US/alchemy-merge-clicker/index.html,Merge,Clicker,Idle,Alchemy
Blogger Clicker,https://games.crazygames.com/en_US/blogger-clicker/index.html,Clicker,Idle,Blogger
Dragon Hunter,https://games.crazygames.com/en_US/let-s-journey/index.html,Adventure,Idle,Dragon
MergeMine Idle,https://games.crazygames.com/en_US/mergemine-idle/index.html,Merge,Idle,Mining
Racer Clicker,https://games.crazygames.com/en_US/racer-clicker/index.html,Clicker,Idle,Racing
Construction Idle,https://games.crazygames.com/en_US/construction-idle/index.html,Idle,Construction
